Ending Weight Token,Ending Weight USD,Sale Rate,Total Proceeds,Unsold Tokens,Average Price,Min Price
0.01,0.99,0.01,14180.74449,49500000,0.028361489,6.54E-05
0.01,0.99,0.02,28975.93106,49000000,0.028975931,6.92E-05
0.01,0.99,0.03,44411.68883,48500000,0.029607793,7.32E-05
0.01,0.99,0.04,60515.29636,48000000,0.030257648,7.74E-05
0.01,0.99,0.05,77315.23597,47500000,0.030926094,8.19E-05
0.01,0.99,0.06,94841.25103,47000000,0.03161375,8.66E-05
0.01,0.99,0.07,113124.4062,46500000,0.032321259,9.16E-05
0.01,0.99,0.08,132197.1507,46000000,0.033049288,9.69E-05
0.01,0.99,0.09,152093.3853,45500000,0.03379853,0.000102424
0.01,0.99,0.1,172848.5327,45000000,0.034569707,0.000108317
0.01,0.99,0.11,194499.6114,44500000,0.035363566,0.00011455
0.01,0.99,0.12,217085.3142,44000000,0.036180886,0.000121143
0.01,0.99,0.13,240646.0907,43500000,0.037022475,0.000128119
0.01,0.99,0.14,265224.2338,43000000,0.037889176,0.000135501
0.01,0.99,0.15,290863.9721,42500000,0.038781863,0.000143314
0.01,0.99,0.16,317611.5666,42000000,0.039701446,0.000151585
0.01,0.99,0.17,345515.413,41500000,0.040648872,0.000160343
0.01,0.99,0.18,374626.1499,41000000,0.041625128,0.000169618
0.01,0.99,0.19,404996.7734,40500000,0.042631239,0.000179442
0.01,0.99,0.2,436682.7575,40000000,0.043668276,0.000189852
0.01,0.99,0.21,469742.1825,39500000,0.044737351,0.000200883
0.01,0.99,0.22,504235.8701,39000000,0.045839625,0.000212576
0.01,0.99,0.23,540227.5269,38500000,0.046976307,0.000224974
0.01,0.99,0.24,577783.8959,38000000,0.048148658,0.000238123
0.01,0.99,0.25,616974.9178,37500000,0.049357993,0.000252071
0.01,0.99,0.26,657873.9016,37000000,0.050605685,0.000266873
0.01,0.99,0.27,700557.705,36500000,0.051893163,0.000282584
0.01,0.99,0.28,745106.9272,36000000,0.053221923,0.000299266
0.01,0.99,0.29,791606.1127,35500000,0.054593525,0.000316985
0.01,0.99,0.3,840143.9676,35000000,0.056009598,0.00033581
0.01,0.99,0.31,890813.5906,34500000,0.057471845,0.000355817
0.01,0.99,0.32,943712.7175,34000000,0.058982045,0.000377089
0.01,0.99,0.33,998943.9825,33500000,0.06054206,0.000399714
0.01,0.99,0.34,1056615.196,33000000,0.062153835,0.000423787
0.01,0.99,0.35,1116839.639,32500000,0.063819408,0.000449411
0.01,0.99,0.36,1179736.382,32000000,0.06554091,0.000476696
0.01,0.99,0.37,1245430.618,31500000,0.067320574,0.000505763
0.01,0.99,0.38,1314054.026,31000000,0.069160738,0.000536742
0.01,0.99,0.39,1385745.15,30500000,0.071063854,0.000569774
0.01,0.99,0.4,1460649.815,30000000,0.073032491,0.000605011
0.01,0.99,0.41,1538921.563,29500000,0.075069345,0.00064262
0.01,0.99,0.42,1620722.127,29000000,0.077177244,0.00068278
0.01,0.99,0.43,1706221.931,28500000,0.07935916,0.000725688
0.01,0.99,0.44,1795600.636,28000000,0.081618211,0.000771556
0.01,0.99,0.45,1889047.718,27500000,0.083957676,0.000820618
0.01,0.99,0.46,1986763.094,27000000,0.086381004,0.000873127
0.01,0.99,0.47,2088957.791,26500000,0.088891821,0.00092936
0.01,0.99,0.48,2195854.674,26000000,0.091493945,0.000989621
0.01,0.99,0.49,2307689.221,25500000,0.094191397,0.001054242
0.01,0.99,0.5,2424710.365,25000000,0.096988415,0.001123587
0.01,0.99,0.51,2547181.405,24500000,0.099889467,0.001198057
0.01,0.99,0.52,2675380.983,24000000,0.102899269,0.00127809
0.01,0.99,0.53,2809604.151,23500000,0.106022798,0.001364173
0.01,0.99,0.54,2950163.526,23000000,0.109265316,0.001456839
0.01,0.99,0.55,3097390.534,22500000,0.112632383,0.001556679
0.01,0.99,0.56,3251636.776,22000000,0.116129885,0.001664349
0.01,0.99,0.57,3413275.509,21500000,0.119764053,0.001780572
0.01,0.99,0.58,3582703.253,21000000,0.123541491,0.001906155
0.01,0.99,0.59,3760341.562,20500000,0.127469205,0.002041994
0.01,0.99,0.6,3946638.943,20000000,0.131554631,0.002189091
0.01,0.99,0.61,4142072.976,19500000,0.135805671,0.002348564
0.01,0.99,0.62,4347152.624,19000000,0.14023073,0.002521666
0.01,0.99,0.63,4562420.789,18500000,0.144838755,0.002709806
0.01,0.99,0.64,4788457.118,18000000,0.149639285,0.002914568
0.01,0.99,0.65,5025881.108,17500000,0.154642496,0.003137744
0.01,0.99,0.66,5275355.539,17000000,0.159859259,0.00338136
0.01,0.99,0.67,5537590.292,16500000,0.165301203,0.003647719
0.01,0.99,0.68,5813346.591,16000000,0.170980782,0.003939444
0.01,0.99,0.69,6103441.734,15500000,0.176911355,0.004259534
0.01,0.99,0.7,6408754.398,15000000,0.183107269,0.00461143
0.01,0.99,0.71,6730230.587,14500000,0.18958396,0.004999098
0.01,0.99,0.72,7068890.336,14000000,0.196358065,0.005427121
