Ending Weight Token,Ending Weight USD,Sale Rate,Total Proceeds,Unsold Tokens,Average Price,Min Price
0.01,0.99,0.01,9125.96143,49500000,0.018251923,6.44E-05
0.01,0.99,0.02,17871.12783,49000000,0.017871128,6.69E-05
0.01,0.99,0.03,20482.40095,48500000,0.013654934,6.81E-05
0.01,0.99,0.04,31922.99289,48000000,0.015961496,7.13E-05
0.01,0.99,0.05,80755.42186,47500000,0.032302169,8.26E-05
0.01,0.99,0.06,99092.59863,47000000,0.033030866,8.75E-05
0.01,0.99,0.07,63010.62071,46500000,0.018003034,8.05E-05
0.01,0.99,0.08,57599.91244,46000000,0.014399978,8.01E-05
0.01,0.99,0.09,118545.4962,45500000,0.026343444,9.48E-05
0.01,0.99,0.1,87439.97312,45000000,0.017487995,8.88E-05
0.01,0.99,0.11,178686.707,44500000,0.032488492,0.000110887
0.01,0.99,0.12,148400.4538,44000000,0.024733409,0.000105051
0.01,0.99,0.13,111035.7276,43500000,0.01708242,9.74E-05
0.01,0.99,0.14,239566.5126,43000000,0.034223788,0.00012935
0.01,0.99,0.15,163291.5496,42500000,0.021772207,0.000112371
0.01,0.99,0.16,264498.9119,42000000,0.033062364,0.000138549
0.01,0.99,0.17,118778.9082,41500000,0.013973989,0.000104023
0.01,0.99,0.18,212891.7678,41000000,0.023654641,0.000128954
0.01,0.99,0.19,149361.8788,40500000,0.015722303,0.000114376
0.01,0.99,0.2,201744.6702,40000000,0.020174467,0.000129305
0.01,0.99,0.21,252863.0926,39500000,0.024082199,0.000144283
0.01,0.99,0.22,354042.0659,39000000,0.032185642,0.000172877
0.01,0.99,0.23,294593.0352,38500000,0.025616786,0.000159204
0.01,0.99,0.24,350230.6712,38000000,0.029185889,0.000176393
0.01,0.99,0.25,274267.5238,37500000,0.021941402,0.000157863
0.01,0.99,0.26,362684.6769,37000000,0.027898821,0.00018463
0.01,0.99,0.27,389257.5313,36500000,0.028833891,0.000194665
0.01,0.99,0.28,240046.4848,36000000,0.017146177,0.000154642
0.01,0.99,0.29,257584.3906,35500000,0.017764441,0.000161913
0.01,0.99,0.3,641040.272,35000000,0.042736018,0.000277167
0.01,0.99,0.31,304015.5642,34500000,0.019613907,0.000180481
0.01,0.99,0.32,292182.8796,34000000,0.01826143,0.000179548
0.01,0.99,0.33,505284.3503,33500000,0.030623294,0.000247804
0.01,0.99,0.34,395940.3238,33000000,0.023290607,0.000217402
0.01,0.99,0.35,600279.5495,32500000,0.034301689,0.000285562
0.01,0.99,0.36,708101.7301,32000000,0.039338985,0.000324759
0.01,0.99,0.37,964183.0827,31500000,0.052118004,0.000413721
0.01,0.99,0.38,543636.5406,31000000,0.02861245,0.000280545
0.01,0.99,0.39,373602.9557,30500000,0.019159126,0.000227675
0.01,0.99,0.4,929281.9476,30000000,0.046464097,0.000422418
0.01,0.99,0.41,833179.5312,29500000,0.040642904,0.000395995
0.01,0.99,0.42,523997.8402,29000000,0.024952278,0.000292916
0.01,0.99,0.43,412812.8128,28500000,0.019200596,0.000257838
0.01,0.99,0.44,957866.0386,28000000,0.043539365,0.00046312
0.01,0.99,0.45,730764.0973,27500000,0.032478404,0.000386407
0.01,0.99,0.46,701726.6379,27000000,0.030509854,0.000382477
0.01,0.99,0.47,931694.261,26500000,0.039646564,0.000479158
0.01,0.99,0.48,598349.6879,26000000,0.024931237,0.000356201
0.01,0.99,0.49,1350598.479,25500000,0.055126469,0.000667308
0.01,0.99,0.5,989673.225,25000000,0.039586929,0.000531822
0.01,0.99,0.51,1143187.332,24500000,0.044830876,0.000607274
0.01,0.99,0.52,941561.3733,24000000,0.036213899,0.000533319
0.01,0.99,0.53,564527.0712,23500000,0.021302908,0.000379265
0.01,0.99,0.54,1127769.248,23000000,0.041769231,0.000639977
0.01,0.99,0.55,1128509.763,22500000,0.041036719,0.000654541
0.01,0.99,0.56,1677388.854,22000000,0.059906745,0.000926633
0.01,0.99,0.57,1049718.756,21500000,0.036832237,0.000647211
0.01,0.99,0.58,2168035.847,21000000,0.074759857,0.001211645
0.01,0.99,0.59,914970.8493,20500000,0.031015961,0.000611023
0.01,0.99,0.6,1846792.191,20000000,0.06155974,0.001106645
0.01,0.99,0.61,1018791.733,19500000,0.033403008,0.000697257
0.01,0.99,0.62,845127.7472,19000000,0.027262185,0.000621376
0.01,0.99,0.63,1579012.355,18500000,0.050127376,0.001047165
0.01,0.99,0.64,1596764.67,18000000,0.049898896,0.00108643
0.01,0.99,0.65,2084762.679,17500000,0.064146544,0.001404983
0.01,0.99,0.66,1161254.845,17000000,0.035189541,0.000886227
0.01,0.99,0.67,1861724.036,16500000,0.055573852,0.001350791
0.01,0.99,0.68,1132921.427,16000000,0.033321218,0.000923375
0.01,0.99,0.69,2154340.193,15500000,0.062444643,0.001632613
0.01,0.99,0.7,951073.8272,15000000,0.027173538,0.000859957
0.01,0.99,0.71,1264426.023,14500000,0.035617634,0.001112441
0.01,0.99,0.72,1064470.72,14000000,0.029568631,0.00100492
0.01,0.99,0.73,3984383.349,13500000,0.109161188,0.00327232
0.01,0.99,0.74,1989784.63,13000000,0.053777963,0.00181618
0.01,0.99,0.75,1754022.003,12500000,0.04677392,0.001694374
0.01,0.99,0.76,1438960.803,12000000,0.03786739,0.001494274
0.01,0.99,0.77,5438582.168,11500000,0.141261874,0.005145603
0.01,0.99,0.78,3625347.523,11000000,0.092957629,0.003679795
0.01,0.99,0.79,2688351.613,10500000,0.068059535,0.002934878
0.01,0.99,0.8,3849544.766,10000000,0.096238619,0.004279161
0.01,0.99,0.81,4000346.171,9500000,0.09877398,0.004668201
0.01,0.99,0.82,7803240.115,9000000,0.19032293,0.00928536
0.01,0.99,0.83,3942690.406,8500000,0.095004588,0.005147772
0.01,0.99,0.84,1851657.927,8000000,0.044087093,0.002773935
0.01,0.99,0.85,4227717.418,7500000,0.099475704,0.006226577
0.01,0.99,0.86,4634678.463,7000000,0.10778322,0.007271317
0.01,0.99,0.87,3932146.667,6500000,0.090394176,0.006716202
0.01,0.99,0.88,3796810.347,6000000,0.086291144,0.007043673
0.01,0.99,0.89,3042631.807,5500000,0.068373748,0.006269944
0.01,0.99,0.9,2930287.281,5000000,0.065117495,0.006665748
0.01,0.99,0.91,3797470.81,4500000,0.083460897,0.009395718
0.01,0.99,0.92,4363558.085,4000000,0.094859958,0.0120322
0.01,0.99,0.93,3144927.266,3500000,0.067632844,0.010159637
0.01,0.99,0.94,4317941.889,3000000,0.091871104,0.015892715
0.01,0.99,0.95,3258370.255,2500000,0.068597269,0.014700384
0.01,0.99,0.96,5828062.085,2000000,0.12141796,0.031661457
0.01,0.99,0.97,1859443.378,1500000,0.038339039,0.014888661
0.01,0.99,0.98,2864865.889,1000000,0.058466651,0.032786621
0.01,0.99,0.99,5076861.543,500000,0.102562859,0.111975103
0.02,0.98,0.01,6670.451581,49500000,0.013340903,0.00012903
0.02,0.98,0.02,17156.37218,49000000,0.017156372,0.000134803
0.02,0.98,0.03,22805.26561,48500000,0.01520351,0.000138619
0.02,0.98,0.04,47926.88637,48000000,0.023963443,0.000150963
0.02,0.98,0.05,21866.1614,47500000,0.008746465,0.000141126
0.02,0.98,0.06,50772.01393,47000000,0.016924005,0.000155436
0.02,0.98,0.07,52543.21915,46500000,0.015012348,0.000157901
0.02,0.98,0.08,74244.86598,46000000,0.018561216,0.000169443
0.02,0.98,0.09,79780.36506,45500000,0.01772897,0.000173839
0.02,0.98,0.1,146494.996,45000000,0.029298999,0.000206648
0.02,0.98,0.11,106973.0634,44500000,0.019449648,0.000190473
0.02,0.98,0.12,98902.78215,44000000,0.016483797,0.000188818
0.02,0.98,0.13,128975.8684,43500000,0.019842441,0.000205387
0.02,0.98,0.14,103124.8625,43000000,0.014732123,0.000195254
0.02,0.98,0.15,108359.8676,42500000,0.014447982,0.000200117
0.02,0.98,0.16,154833.0036,42000000,0.019354125,0.000225545
0.02,0.98,0.17,187402.997,41500000,0.022047411,0.000244608
0.02,0.98,0.18,190603.4991,41000000,0.021178167,0.000249218
0.02,0.98,0.19,150126.9268,40500000,0.015802834,0.000231479
0.02,0.98,0.2,170255.5291,40000000,0.017025553,0.000244854
0.02,0.98,0.21,205894.6063,39500000,0.01960901,0.000266745
0.02,0.98,0.22,214740.0075,39000000,0.019521819,0.000274889
0.02,0.98,0.23,407173.6767,38500000,0.035406407,0.000382561
0.02,0.98,0.24,268591.7774,38000000,0.022382648,0.00031164
0.02,0.98,0.25,258798.0987,37500000,0.020703848,0.000310356
