Ending Weight Token,Ending Weight USD,Sale Rate, Total Proceeds ,Unsold Tokens,Average Price,Min Price
0.01,0.99,0.01," $9,011.23 ",49500000,0.018022452,6.44E-05
0.01,0.99,0.02," $18,279.71 ",49000000,0.018279708,6.70E-05
0.01,0.99,0.03," $27,812.98 ",48500000,0.018541986,6.97E-05
0.01,0.99,0.04," $37,618.81 ",48000000,0.018809405,7.25E-05
0.01,0.99,0.05," $47,705.23 ",47500000,0.019082091,7.55E-05
0.01,0.99,0.06," $58,080.51 ",47000000,0.01936017,7.85E-05
0.01,0.99,0.07," $68,753.21 ",46500000,0.019643773,8.17E-05
0.01,0.99,0.08," $79,732.14 ",46000000,0.019933036,8.51E-05
0.01,0.99,0.09," $91,026.44 ",45500000,0.020228097,8.86E-05
0.01,0.99,0.1," $102,645.50 ",45000000,0.020529101,9.22E-05
0.01,0.99,0.11," $114,599.06 ",44500000,0.020836194,9.60E-05
0.01,0.99,0.12," $126,897.17 ",44000000,0.021149528,0.000100014
0.01,0.99,0.13," $139,550.20 ",43500000,0.021469262,0.000104162
0.01,0.99,0.14," $152,568.89 ",43000000,0.021795555,0.000108494
0.01,0.99,0.15," $165,964.32 ",42500000,0.022128576,0.00011302
0.01,0.99,0.16," $179,747.97 ",42000000,0.022468496,0.000117748
0.01,0.99,0.17," $193,931.69 ",41500000,0.022815493,0.00012269
0.01,0.99,0.18," $208,527.74 ",41000000,0.023169749,0.000127857
0.01,0.99,0.19," $223,548.81 ",40500000,0.023531454,0.000133259
0.01,0.99,0.2," $239,008.03 ",40000000,0.023900803,0.000138908
0.01,0.99,0.21," $254,918.97 ",39500000,0.024277997,0.000144819
0.01,0.99,0.22," $271,295.69 ",39000000,0.024663245,0.000151005
0.01,0.99,0.23," $288,152.75 ",38500000,0.025056761,0.00015748
0.01,0.99,0.24," $305,505.22 ",38000000,0.025458768,0.00016426
0.01,0.99,0.25," $323,368.69 ",37500000,0.025869495,0.000171361
0.01,0.99,0.26," $341,759.35 ",37000000,0.026289181,0.0001788
0.01,0.99,0.27," $360,693.95 ",36500000,0.026718071,0.000186598
0.01,0.99,0.28," $380,189.86 ",36000000,0.027156418,0.000194772
0.01,0.99,0.29," $400,265.06 ",35500000,0.027604487,0.000203346
0.01,0.99,0.3," $420,938.25 ",35000000,0.02806255,0.00021234
0.01,0.99,0.31," $442,228.77 ",34500000,0.028530888,0.000221779
0.01,0.99,0.32," $464,156.72 ",34000000,0.029009795,0.00023169
0.01,0.99,0.33," $486,742.95 ",33500000,0.029499572,0.000242099
0.01,0.99,0.34," $510,009.10 ",33000000,0.030000535,0.000253035
0.01,0.99,0.35," $533,977.65 ",32500000,0.030513009,0.000264531
0.01,0.99,0.36," $558,671.96 ",32000000,0.031037331,0.000276621
0.01,0.99,0.37," $584,116.27 ",31500000,0.031573853,0.000289339
0.01,0.99,0.38," $610,335.81 ",31000000,0.032122937,0.000302726
0.01,0.99,0.39," $637,356.80 ",30500000,0.032684964,0.000316822
0.01,0.99,0.4," $665,206.50 ",30000000,0.033260325,0.000331674
0.01,0.99,0.41," $693,913.30 ",29500000,0.033849429,0.000347328
0.01,0.99,0.42," $723,506.72 ",29000000,0.034452701,0.000363837
0.01,0.99,0.43," $754,017.54 ",28500000,0.035070583,0.000381258
0.01,0.99,0.44," $785,477.79 ",28000000,0.035703536,0.00039965
0.01,0.99,0.45," $817,920.85 ",27500000,0.036352038,0.00041908
0.01,0.99,0.46," $851,381.56 ",27000000,0.037016589,0.000439618
0.01,0.99,0.47," $885,896.21 ",26500000,0.037697711,0.000461341
0.01,0.99,0.48," $921,502.71 ",26000000,0.038395946,0.000484333
0.01,0.99,0.49," $958,240.63 ",25500000,0.039111862,0.000508684
0.01,0.99,0.5," $996,151.29 ",25000000,0.039846052,0.000534493
0.01,0.99,0.51," $1,035,277.90 ",24500000,0.040599134,0.000561867
0.01,0.99,0.52," $1,075,665.64 ",24000000,0.041371756,0.000590924
0.01,0.99,0.53," $1,117,361.78 ",23500000,0.042164595,0.000621792
0.01,0.99,0.54," $1,160,415.80 ",23000000,0.042978363,0.00065461
0.01,0.99,0.55," $1,204,879.55 ",22500000,0.043813802,0.000689534
0.01,0.99,0.56," $1,250,807.39 ",22000000,0.044671692,0.000726731
0.01,0.99,0.57," $1,298,256.33 ",21500000,0.045552854,0.000766388
0.01,0.99,0.58," $1,347,286.24 ",21000000,0.046458146,0.00080871
0.01,0.99,0.59," $1,397,960.01 ",20500000,0.047388475,0.000853924
0.01,0.99,0.6," $1,450,343.76 ",20000000,0.048344792,0.000902281
0.01,0.99,0.61," $1,504,507.08 ",19500000,0.049328101,0.000954059
0.01,0.99,0.62," $1,560,523.26 ",19000000,0.05033946,0.001009568
0.01,0.99,0.63," $1,618,469.57 ",18500000,0.051379986,0.001069155
0.01,0.99,0.64," $1,678,427.57 ",18000000,0.052450861,0.001133204
0.01,0.99,0.65," $1,740,483.38 ",17500000,0.053553335,0.001202151
0.01,0.99,0.66," $1,804,728.13 ",17000000,0.054688731,0.001276483
0.01,0.99,0.67," $1,871,258.29 ",16500000,0.055858456,0.001356748
0.01,0.99,0.68," $1,940,176.13 ",16000000,0.057064004,0.001443571
0.01,0.99,0.69," $2,011,590.24 ",15500000,0.058306963,0.001537657
0.01,0.99,0.7," $2,085,616.06 ",15000000,0.05958903,0.001639813
0.01,0.99,0.71," $2,162,376.51 ",14500000,0.060912014,0.001750961
0.01,0.99,0.72," $2,242,002.71 ",14000000,0.062277853,0.001872162
0.01,0.99,0.73," $2,324,634.74 ",13500000,0.063688623,0.00200464
0.01,0.99,0.74," $2,410,422.56 ",13000000,0.065146556,0.002149815
0.01,0.99,0.75," $2,499,527.06 ",12500000,0.066654055,0.002309346
0.01,0.99,0.76," $2,592,121.23 ",12000000,0.068213717,0.002485174
0.01,0.99,0.77," $2,688,391.53 ",11500000,0.069828351,0.002679595
0.01,0.99,0.78," $2,788,539.48 ",11000000,0.071501012,0.002895334
0.01,0.99,0.79," $2,892,783.54 ",10500000,0.073235026,0.003135652
0.01,0.99,0.8," $3,001,361.27 ",10000000,0.075034032,0.003404483
0.01,0.99,0.81," $3,114,532.00 ",9500000,0.076902025,0.003706613
0.01,0.99,0.82," $3,232,579.90 ",9000000,0.078843412,0.004047921
0.01,0.99,0.83," $3,355,817.78 ",8500000,0.080863079,0.004435704
0.01,0.99,0.84," $3,484,591.74 ",8000000,0.08296647,0.004879127
0.01,0.99,0.85," $3,619,286.86 ",7500000,0.085159691,0.005389856
0.01,0.99,0.86," $3,760,334.44 ",7000000,0.087449638,0.005982959
0.01,0.99,0.87," $3,908,221.08 ",6500000,0.089844163,0.006678233
0.01,0.99,0.88," $4,063,500.61 ",6000000,0.092352287,0.007502195
0.01,0.99,0.89," $4,226,809.68 ",5500000,0.094984487,0.008491167
0.01,0.99,0.9," $4,398,888.93 ",5000000,0.097753087,0.009696231
0.01,0.99,0.91," $4,580,612.31 ",4500000,0.100672798,0.011191503
0.01,0.99,0.92," $4,773,028.95 ",4000000,0.103761499,0.013088654
0.01,0.99,0.93," $4,977,425.29 ",3500000,0.107041404,0.015563964
0.01,0.99,0.94," $5,195,421.40 ",3000000,0.110540881,0.018912574
0.01,0.99,0.95," $5,429,128.57 ",2500000,0.114297444,0.023668249
0.01,0.99,0.96," $5,681,425.94 ",2000000,0.11836304,0.030903841
0.01,0.99,0.97," $5,956,491.70 ",1500000,0.122814262,0.04313648
0.01,0.99,0.98," $6,260,956.34 ",1000000,0.127774619,0.067968627
0.01,0.99,0.99," $6,606,889.34 ",500000,0.133472512,0.143838489
0.02,0.98,0.01," $9,099.48 ",49500000,0.018198966,0.000130052
0.02,0.98,0.02," $18,461.91 ",49000000,0.018461913,0.000135358
0.02,0.98,0.03," $28,095.09 ",48500000,0.018730063,0.00014089
0.02,0.98,0.04," $38,007.08 ",48000000,0.019003542,0.000146659
0.02,0.98,0.05," $48,206.20 ",47500000,0.019282482,0.000152675
0.02,0.98,0.06," $58,701.05 ",47000000,0.019567015,0.00015895
0.02,0.98,0.07," $69,500.48 ",46500000,0.01985728,0.000165496
0.02,0.98,0.08," $80,613.68 ",46000000,0.02015342,0.000172327
0.02,0.98,0.09," $92,050.11 ",45500000,0.020455581,0.000179455
0.02,0.98,0.1," $103,819.56 ",45000000,0.020763913,0.000186897
0.02,0.98,0.11," $115,932.15 ",44500000,0.021078573,0.000194666
0.02,0.98,0.12," $128,398.33 ",44000000,0.021399721,0.000202779
0.02,0.98,0.13," $141,228.90 ",43500000,0.021727523,0.000211253
0.02,0.98,0.14," $154,435.05 ",43000000,0.022062149,0.000220106
0.02,0.98,0.15," $168,028.32 ",42500000,0.022403777,0.000229358
0.02,0.98,0.16," $182,020.69 ",42000000,0.022752586,0.000239027
